Id;Nome;Squadra;Ruolo;Qt.I;Tier;Note
2134;Falcone;Lecce;P;6;Scommessa;Titolare probabile; alti volumi di parate; profilo low-cost affidabile. Monitorare tenuta difensiva del Lecce.
761;Audero;Cremonese;P;5;Scommessa;Favorito per la titolarità; esperienza e solidità. Rischio: possibile rotazione iniziale, ma parte avanti.
6462;Okoye;Udinese;P;6;Scommessa;Atletico, impatto sulle parate; upside se la difesa cresce. Rischio malus se l'Udinese concede molto.
4957;Montipò;Verona;P;5;Scommessa;Titolare con buona media interventi; copre malus. Calendario da incrociare.
2653;Lykogiannis;Bologna;D;5;Scommessa;Terzino sx di spinta; cross frequenti; qualche piazzato laterale. Rischio ballottaggi coi pari ruolo.
5449;Parisi;Fiorentina;D;5;Scommessa;Spinta e 1v1; se trova continuità porta assist. Concorrenza interna alta: serve forma e minutaggio.
5168;Tsimikas;Roma;D;4;Scommessa;Terzino offensivo: buon piede su cross/piazzati secondari. Rischio rotazioni; profilo da modificatore.
6896;Van Der Brempt;Como;D;4;Scommessa;Esterno a tutta fascia; titolarità alla portata; bonus da cross/inserimenti.
4502;Gallo;Lecce;D;5;Scommessa;Titolare stabile; cross e spinta costante. Bonus da assist possibili.
791;Sabelli;Genoa;D;5;Scommessa;Titolare a destra; tanti cross; discreta continuità. Occhio a diffide e gestione fisica.
6986;Rensch;Roma;D;5;Scommessa;Profilo moderno e duttile; può risalire le gerarchie. Bonus se impiegato alto.
6066;Posch;Como;D;5;Scommessa;Difensore "bonus-friendly" (inserimenti/colpo di testa). Se titolare fisso, upside gol.
7156;Pieragnolo;Sassuolo;D;2;Scommessa;Prospetto in crescita; spinta a sinistra. A prezzo minimo è un jolly da panchina lunga.
6900;Rui Modesto;Udinese;D;3;Scommessa;Esterno di gamba; minuti in crescita nelle rotazioni. Bonus sporadici da ripartenza.
6047;Ehizibue;Udinese;D;5;Scommessa;Fisico e spinta; alterna alti e bassi. Profilo utile contro avversari chiusi.
152;Zielinski;Inter;C;4;Scommessa;Qualità superiore; chance su piazzati/assist in contesto prolifico. Prezzo basso rispetto al ceiling.
4711;Kostic;Juventus;C;4;Scommessa;Volume di cross elevato; possibili piazzati laterali. Se il minutaggio regge, porta assist.
5735;Volpato;Sassuolo;C;5;Scommessa;Talento e 1v1; se trova continuità può fare bonus da T/ala.
6815;Fadera;Sassuolo;C;6;Scommessa;Ala verticale; strappi e potenziale in assist/rigori conquistati.
4423;Hernani;Parma;C;7;Scommessa;Tiro da fuori e piazzati; possibile regolarità a voti. Buon 7°/8° slot.
5007;Ilic;Torino;C;7;Scommessa;Mezzala/trequartista; con piazzati occasionali alza l'upside.
5688;Harroui;Verona;C;7;Scommessa;Inserimenti e ruolo avanzato a tratti. Copertura affidabile da modificatore.
6528;Sarmiento J.;Cremonese;C;4;Scommessa;Estro e strappi; impatto anche da subentrante. Fringe con upside.
5992;Bondo;Cremonese;C;3;Scommessa;Mezzala di inserimento; crescita continua. Perfetto come ultimo slot.
5813;Miretti;Juventus;C;5;Scommessa;Duttilità e minutaggio in aumento; bonus sporadici possibili.
6190;Pisilli;Roma;C;7;Scommessa;Prospetto interessante; minuti in progressione. Da tenere e valutare.
6294;Ndour;Fiorentina;C;2;Scommessa;Fisico + tecnica; investimento prospettico. Utile in leghe con panchina lunga.
6908;Atta;Udinese;C;6;Scommessa;Mezzala dinamica; presenza in area. Da alternare in casa.
2155;Cutrone;Parma;A;10;Scommessa;9 d'area; titolarità possibile; gol "pesanti". Bene in incrocio casa/trasferta.
6643;Dallinga;Bologna;A;10;Scommessa;Fiuto del gol; può ritagliarsi spazio. Slot di manovra come ultimo titolare.
7017;Douvikas;Como;A;8;Scommessa;Centravanti con senso del gol; minuti in crescita attesi.
7249;Buksa;Udinese;A;9;Scommessa;Target man; può partire titolare. Buon profilo per bonus "sporchi".
6145;Ngonge;Torino;A;9;Scommessa;Jolly offensivo; tiro da fuori; strappi. Bonus distribuiti.
6556;Noslin;Lazio;A;7;Scommessa;Seconda punta/esterno; inserimenti. Utilissimo contro difese alte.
7213;Frigan;Parma;A;7;Scommessa;9 giovane; progressione nei minuti. Da stashare e aspettare.
6001;Banda;Lecce;A;5;Scommessa;Dribbling e strappi; crea superiorità. Bonus da assist/falli conquistati.
6439;Cheddira;Sassuolo;A;4;Scommessa;9 mobile da ripartenza; bonus possibili in transizione.
5500;Cancellieri;Lazio;A;3;Scommessa;Duttilità; cerca rilancio. Profilo low-cost con upside se sale nelle gerarchie.
7127;Addai;Como;A;7;Scommessa;Esterno rapido; impatto nelle rotazioni. Bonus se subentra con spazi.
1842;Pierini;Sassuolo;A;5;Scommessa;Trequartista/ala; possibile utilizzo su alcuni piazzati secondari.
